tank_id,image,isPrem,name,avg_earnings,profit_per_minute,avg_repair_cost,avg_profit,avg_ammo_cost,earnings_per_minute,nation,cost_per_shot,battles,tier,class,avg_consumables_cost
929,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/italy-It03_M15_42.png,False,M15/42,17838,262,907,1135,13169,4118,Italy,573,522,3,MT,2625
3889,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/china-Ch17_WZ131_1_WZ132.png,False,WZ-132,25693,262,9404,1081,8397,6235,China,1450,1491,8,LT,6809
21025,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/usa-A139_M_III_Y.png,False,M-III-Y,37443,203,10837,1054,22853,7231,USA,1918,2207,8,HT,2697
17473,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F87_Batignolles-Chatillon_12t.png,False,B-C 12 t,26786,233,8518,1017,9064,6134,France,1190,6033,8,LT,8186
5697,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F75_Char_de_25t.png,False,B-C 25 t AP,42438,200,13730,994,21640,8544,France,2295,2670,9,MT,6072
6721,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F05_BDR_G1B.png,False,BDR G1 B,34339,193,2934,990,23082,6711,France,2291,1513,5,HT,7331
12545,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R59_A44.png,False,A-44,28926,178,6923,974,16287,5285,USSR,1827,362,7,MT,4740
9233,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G61_G_E.png,False,G.W. E 100,41558,149,17135,953,16379,6510,Germany,2087,4009,10,SPG,7089
18497,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F110_Lynx_6x6.png,False,Lynx 6x6,27384,240,7851,910,9012,7236,France,1454,6692,8,LT,9610
1345,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F12_Hotchkiss_H35.png,False,H35,16777,173,454,808,14657,3601,France,409,161,2,LT,857
15649,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A103_T71E1.png,False,T71 DA,27934,185,6336,803,15137,6437,USA,1420,3705,7,LT,5656
6913,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R25_GAZ-74b.png,False,SU-85B,20785,140,762,789,17198,3690,USSR,1103,478,4,TD,2035
8737,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A40_T95.png,False,T95,43034,115,13607,692,21416,7196,USA,3369,6059,9,TD,7318
2305,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R18_SU-152.png,False,SU-152,28898,105,4550,593,18496,5115,USSR,3383,2789,7,TD,5259
2209,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/italy-It14_P44_Pantera.png,False,P.44 Pantera,29313,105,11532,531,13257,5840,Italy,1344,4482,8,MT,3992
1809,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G09_Hetzer.png,False,Hetzer,21876,108,1115,523,17030,4544,Germany,2181,2031,4,TD,3206
3489,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/italy-It19_Progetto_C50_mod_66.png,False,Progetto 66,41732,97,15506,519,20580,7869,Italy,2205,21374,9,HT,5126
3985,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/poland-Pl18_BUGI.png,False,B.U.G.I.,27896,101,4796,477,18726,5915,Poland,2324,3389,6,MT,3895
58705,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB103_GSOR3301_AVR_FS.png,False,GSOR,35013,95,11950,473,13082,7072,UK,2030,2459,9,LT,9507
19729,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G115_Typ_205B.png,False,VK 100.01 P,39135,71,11806,389,22398,7226,Germany,2761,18621,8,HT,4540
401,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/poland-Pl01_TKS_20mm.png,True,TKS 20,7144,43,164,275,3776,1117,Poland,101,369,2,LT,2928
6977,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F07_AMX_M4_1945.png,False,AMX M4 45,34083,40,8690,212,19918,6429,France,2011,3039,7,HT,5262
2049,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R12_A-20.png,False,A-20,26910,43,2198,181,15338,6379,USSR,810,815,5,LT,9191
62497,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A130_Super_Hellcat.png,True,Super Hellcat,28044,-1,5694,-5,17456,5232,USA,1898,12326,7,TD,4898
