damage_received,survival,damage_received_from_invisible,life_time,nation,player_winrate,winrate,image,isPrem,class,difference,tier,damage_blocked,battles,shots_fired,spots,tank_id,direct_hits,sniper_damage,spotting_assist,base_defense_points,wn8,frags,penetrations,base_capture_points,distance_traveled,hit_rate,name,tracking_assist,potential_damage_received,pen_rate,damage
560,22.38,187,269,Germany,52.76,53.23,https://api.worldoftanks.com/static/2.69.0/wot/encyclopedia/vehicle/contour/germany-G81_Pz_IV_AusfH_GuP.png,True,MT,0.47,5,61,487,11.75,1.18,45585,7.63,145,200,1.08,1123,0.76,5.54,0.56,1188,64.92,Pz. IV H Ankou,23,594,72.58,583
964,21.14,306,263,Germany,51.34,52.07,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G85_Auf_Panther.png,True,LT,0.73,7,91,421,10.32,2.42,14353,7.24,238,562,0.45,2141,0.77,5.78,0.08,1608,70.14,Aufkl.Panther,18,1045,79.88,836
553,18.75,204,243,UK,48.65,46.85,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB50_Sherman_III.png,False,MT,-1.8,5,78,384,7.98,0.98,12881,4.34,80,162,0.62,868,0.53,2.58,1.29,1005,54.46,Sherman III,27,614,59.29,367
389,31.5,135,322,USSR,51.48,49.5,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R78_SU_85I.png,True,TD,-1.98,5,80,346,10.62,0.63,53761,6,297,117,0.71,1464,0.95,4.51,1.45,1088,56.52,SU-85I,33,465,75.06,662
830,28.92,232,282,USSR,50.62,51.87,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/ussr-R186_KV_1_Screened.png,True,HT,1.25,5,503,325,12.78,0.82,33025,8.32,74,168,0.34,1088,0.78,5.52,1.3,973,65.12,KV-1Sh,21,1295,66.36,577
633,30.22,218,286,Germany,52.83,51.26,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G116_Turan_III_prot.png,True,MT,-1.57,5,54,268,11.28,0.9,63249,7.28,146,187,0.47,1413,0.87,5.31,1.22,1186,64.56,Turán III PT,23,619,72.94,547
561,22.99,184,266,USSR,50.73,49.49,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/ussr-R193_M4A2_T_34.png,True,MT,-1.24,5,90,261,7.67,0.84,34305,4.38,134,154,0.63,1140,0.63,3.54,1.03,1127,57.06,M4-85,24,636,80.93,529
969,32.68,354,341,Germany,48.78,47,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G112_KanonenJagdPanzer.png,True,TD,-1.78,8,10,254,8.67,0.71,61969,5.31,396,301,0.72,945,0.66,3.49,1.44,1435,61.19,KanJPz,24,946,65.8,809
670,26.47,241,275,Germany,50.08,50.14,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G107_PzKpfwIII_AusfK.png,True,MT,0.06,5,54,204,9.69,0.74,61457,6.04,117,165,0.74,1015,0.62,4.05,1.25,1044,62.37,Pz. III K,25,695,67.07,421
520,26.24,178,273,France,51.34,49.34,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F11_Renault_G1R.png,False,MT,-2,5,118,202,8.46,0.87,4417,4.95,125,185,0.52,1253,0.71,2.89,0.48,1041,58.46,G1 R,32,649,58.36,482
355,36.02,146,337,UK,48.69,50.98,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB44_Archer.png,False,TD,2.29,5,4,186,10.35,0.6,13393,5.69,362,152,0.48,1554,0.86,4.65,1.32,932,54.93,Archer,24,351,81.76,628
1158,25,420,305,Germany,49.97,46.85,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G119_Panzer58.png,True,MT,-3.12,8,146,148,8.17,0.99,63761,5.36,357,357,0,937,0.55,3.65,1.18,1401,65.67,Pz. 58,82,1326,68.01,868
596,19.1,180,250,USA,53.77,53.07,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A44_M4A2E4.png,True,MT,-0.7,5,267,89,10.02,1.17,52257,6.85,52,179,0.18,1392,0.75,4.51,0.67,1052,68.39,M4A2E4,21,863,65.74,488
1362,14.46,487,309,USA,48.8,49.86,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A81_T95_E2.png,True,MT,1.06,8,413,83,8.57,1.22,53793,5.67,226,375,0,766,0.48,3.4,1.37,1428,66.24,T95E2,40,1843,59.87,777
1251,29.85,281,320,Czech,58.5,59.85,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/czech-Cz15_Skoda_T-45_Prem.png,True,HT,1.35,7,623,67,11.82,0.76,51313,8.48,213,223,0,1515,0.81,6.07,0.1,1200,71.72,Škoda T 45,32,1809,71.65,1257
1791,15.56,508,299,China,0,0,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/china-Ch59_BZ58_2.png,True,HT,0,9,804,45,7.67,1.42,10289,5.56,191,413,0,1284,0.78,3.89,0,1280,72.46,BZ-58-2,16,2631,70,1835
541,33.33,65,226,Germany,62.79,65.38,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G32_PzV_PzIV_ausf_Alfa.png,True,MT,2.59,5,207,6,11,3.33,54033,9,127,252,0.67,1868,1.17,8.17,0,1151,81.82,Pz. V/IV A,0,712,90.74,909
980,0,410,208,USSR,0,0,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R38_KV-220_beta.png,True,HT,0,5,980,1,7,0,51201,7,0,24,0,812,0,5,0,765,100,KV-220-2 T,0,2050,71.43,537
